# first search 
C = 0.30000000000000004, ETA = 0.00030000000000000003, ACC = 0.8160000000000001
C = 0.30000000000000004, ETA = 0.0004, ACC = 0.8240000000000001
C = 0.30000000000000004, ETA = 0.0005, ACC = 0.8220000000000001
C = 0.30000000000000004, ETA = 0.0006000000000000001, ACC = 0.8160000000000001
C = 0.30000000000000004, ETA = 0.0007000000000000001, ACC = 0.8200000000000001
C = 0.30000000000000004, ETA = 0.0008, ACC = 0.8160000000000001
C = 0.30000000000000004, ETA = 0.0009000000000000001, ACC = 0.8099999999999999
C = 0.30000000000000004, ETA = 0.001, ACC = 0.8099999999999999
C = 0.4, ETA = 0.0001, ACC = 0.8099999999999999
C = 0.4, ETA = 0.0002, ACC = 0.8200000000000001
C = 0.4, ETA = 0.00030000000000000003, ACC = 0.8260000000000002
C = 0.4, ETA = 0.0004, ACC = 0.8139999999999998
C = 0.4, ETA = 0.0005, ACC = 0.82
C = 0.4, ETA = 0.0006000000000000001, ACC = 0.8220000000000001
C = 0.4, ETA = 0.0007000000000000001, ACC = 0.8300000000000001
C = 0.4, ETA = 0.0008, ACC = 0.8160000000000001
C = 0.4, ETA = 0.0009000000000000001, ACC = 0.818
C = 0.4, ETA = 0.001, ACC = 0.8200000000000001
C = 0.5, ETA = 0.0001, ACC = 0.8099999999999999
C = 0.5, ETA = 0.0002, ACC = 0.8180000000000002
C = 0.5, ETA = 0.00030000000000000003, ACC = 0.818
C = 0.5, ETA = 0.0004, ACC = 0.826
C = 0.5, ETA = 0.0005, ACC = 0.8360000000000001
C = 0.5, ETA = 0.0006000000000000001, ACC = 0.812
C = 0.5, ETA = 0.0007000000000000001, ACC = 0.8240000000000001
C = 0.5, ETA = 0.0008, ACC = 0.8300000000000001
C = 0.5, ETA = 0.0009000000000000001, ACC = 0.8240000000000001
C = 0.5, ETA = 0.001, ACC = 0.818
C = 0.6, ETA = 0.0001, ACC = 0.8200000000000001
C = 0.6, ETA = 0.0002, ACC = 0.8220000000000001
C = 0.6, ETA = 0.00030000000000000003, ACC = 0.8299999999999998
C = 0.6, ETA = 0.0004, ACC = 0.826
C = 0.6, ETA = 0.0005, ACC = 0.806
C = 0.6, ETA = 0.0006000000000000001, ACC = 0.8099999999999999
C = 0.6, ETA = 0.0007000000000000001, ACC = 0.82
C = 0.6, ETA = 0.0008, ACC = 0.8320000000000001
C = 0.6, ETA = 0.0009000000000000001, ACC = 0.82
C = 0.6, ETA = 0.001, ACC = 0.8220000000000001
C = 0.7000000000000001, ETA = 0.0001, ACC = 0.82
C = 0.7000000000000001, ETA = 0.0002, ACC = 0.8099999999999999
C = 0.7000000000000001, ETA = 0.00030000000000000003, ACC = 0.8220000000000001
C = 0.7000000000000001, ETA = 0.0004, ACC = 0.808
C = 0.7000000000000001, ETA = 0.0005, ACC = 0.8220000000000001
C = 0.7000000000000001, ETA = 0.0006000000000000001, ACC = 0.818
C = 0.7000000000000001, ETA = 0.0007000000000000001, ACC = 0.828
C = 0.7000000000000001, ETA = 0.0008, ACC = 0.828
C = 0.7000000000000001, ETA = 0.0009000000000000001, ACC = 0.8300000000000001
C = 0.7000000000000001, ETA = 0.001, ACC = 0.82
C = 0.8, ETA = 0.0001, ACC = 0.8220000000000001
C = 0.8, ETA = 0.0002, ACC = 0.804
C = 0.8, ETA = 0.00030000000000000003, ACC = 0.8160000000000001
C = 0.8, ETA = 0.0004, ACC = 0.808
C = 0.8, ETA = 0.0005, ACC = 0.8140000000000001
C = 0.8, ETA = 0.0006000000000000001, ACC = 0.8340000000000002
C = 0.8, ETA = 0.0007000000000000001, ACC = 0.8240000000000001
C = 0.8, ETA = 0.0008, ACC = 0.8220000000000001
C = 0.8, ETA = 0.0009000000000000001, ACC = 0.806
C = 0.8, ETA = 0.001, ACC = 0.812
C = 0.9, ETA = 0.0001, ACC = 0.818
C = 0.9, ETA = 0.0002, ACC = 0.818
C = 0.9, ETA = 0.00030000000000000003, ACC = 0.8220000000000001
C = 0.9, ETA = 0.0004, ACC = 0.8160000000000001
C = 0.9, ETA = 0.0005, ACC = 0.8220000000000001
C = 0.9, ETA = 0.0006000000000000001, ACC = 0.8240000000000001
C = 0.9, ETA = 0.0007000000000000001, ACC = 0.8400000000000001
C = 0.9, ETA = 0.0008, ACC = 0.8239999999999998
C = 0.9, ETA = 0.0009000000000000001, ACC = 0.8220000000000001
C = 0.9, ETA = 0.001, ACC = 0.8220000000000001
