0.1	0.0001	0.8420
0.1	0.0002	0.8427
0.1	0.0003	0.8438
0.1	0.0004	0.8408
0.1	0.0005	0.8407
0.1	0.0006	0.8415
0.1	0.0007	0.8410
0.1	0.0008	0.8430
0.1	0.0009	0.8427
0.1	0.0010	0.8405
0.3	0.0001	0.8400
0.3	0.0002	0.8405
0.3	0.0003	0.8412
0.3	0.0004	0.8412
0.3	0.0005	0.8422
0.3	0.0006	0.8407
0.3	0.0007	0.8405
0.3	0.0008	0.8427
0.3	0.0009	0.8398
0.3	0.0010	0.8362
0.5	0.0001	0.8418
0.5	0.0002	0.8412
0.5	0.0003	0.8405
0.5	0.0004	0.8400
0.5	0.0005	0.8423
0.5	0.0006	0.8377
0.5	0.0007	0.8373
0.5	0.0008	0.8345
0.5	0.0009	0.8287
0.5	0.0010	0.8243
0.7	0.0001	0.8428
0.7	0.0002	0.8420
0.7	0.0003	0.8425
0.7	0.0004	0.8412
0.7	0.0005	0.8358
0.7	0.0006	0.8327
0.7	0.0007	0.8278
0.7	0.0008	0.8202
0.7	0.0009	0.8197
0.7	0.0010	0.8175
0.9	0.0001	0.8412
0.9	0.0002	0.8373
